Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Fruit_Flower,Dead,Outside_Plot,cf,Scientific_Name,Code,Life_Form,Nativity,Comments,Certified,Verified
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,35,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,37,FALSE,FALSE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,1,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,3,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,21,FALSE,FALSE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,26,FALSE,FALSE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Rotational,30,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,37,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Fixed,15,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Fixed,15,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Rotational,24,FALSE,FALSE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Rotational,49,FALSE,TRUE,FALSE,,,Geranium homeanum,GERHOM,Herb,Non-Native,,TRUE,TRUE
