Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Sample_Area,LF_Sm_Woody,DBH,Status,Length,Rooting,Count,Scientific_Name,Code,Life_Form,Nativity,Comments,Certified,Verified
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Fixed,13,FALSE,Quad 4,Small Tree,5<10,Dead,,R1,4,,,,,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Fixed,7,FALSE,Quad 4,Small Tree,1<5,Dead,,R1,2,,,,,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,Quad 4,Small Tree,1<5,Dead,,R1,1,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,2,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Aglaia mariannensis,AGLMAR,Tree,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Rotational,13,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,9,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,Quad 4,Small Tree,1<5,Live,,R1,5,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,Quad 4,Small Tree,5<10,Live,,R1,3,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,Transect 3,Seedling,<1,Live,L3,R1,2,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,9,FALSE,Quad 4,Small Tree,1<5,Live,,R1,6,Melanolepis multiglandulosa var. glabrata,MELMUL1,,Native,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,Quad 4,Small Tree,1<5,Live,,R1,7,Pisonia umbellifera,PISUMB,Tree,Native,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,28,FALSE,Quad 4,Small Tree,5<10,Live,,R2,2,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,Transect 3,Seedling,<1,Live,L2,R1,1,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,Quad 4,Small Tree,1<5,Live,,R1,7,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,Transect 3,Seedling,<1,Live,L1,R1,2,Polyscias spp.,POLSP.1,Tree,Native,,TRUE,TRUE
