"Unit_Code","Park_Name","State_Territory","Island","Community","abbr_Community","Sampling_Frame","abbr_Sampling_Frame","Formal_Sampling_Frame"
"HAVO ","Hawaiʻi Volcanoes National Park","Hawaiʻi","Hawaiʻi","Wet Forest","W","Olaa","OL","ʻŌlaʻa"
"HAVO ","Hawaiʻi Volcanoes National Park","Hawaiʻi","Hawaiʻi","Wet Forest","W","Nahuku/East Rift","ER","Nāhuku / East Rift "
"HAVO ","Hawaiʻi Volcanoes National Park","Hawaiʻi","Hawaiʻi","Subalpine Shrubland","S","Mauna Loa","ML","Mauna Loa"
"HAVO ","Hawaiʻi Volcanoes National Park","Hawaiʻi","Hawaiʻi","Wet Forest","W","Kahuku","KU","Kahuku "
"KAHO ","Kaloko-Honokōhau National Historical Park","Hawaiʻi","Hawaiʻi","Coastal Strand","C","Kaloko-Honokohau","KH","Kaloko-Honokōhau"
"HALE ","Haleakalā National Park","Hawaiʻi","Maui","Wet Forest","W","Kipahulu District","KD","Kīpahulu District"
"HALE ","Haleakalā National Park","Hawaiʻi","Maui","Subalpine Shrubland","S","Haleakala","HA","Haleakalā"
"KALA ","Kalaupapa National Historical Park","Hawaiʻi","Molokaʻi","Wet Forest","W","Puu Alii","PA","Puʻu Aliʻi"
"KALA ","Kalaupapa National Historical Park","Hawaiʻi","Molokaʻi","Coastal Strand","C","Kalawao","KW","Kalawao"
"KALA ","Kalaupapa National Historical Park","Hawaiʻi","Molokaʻi","Coastal Strand","C","Hoolehua","HO","Hoʻolehua"
"NPSA ","National Park of American Samoa","American Samoa","Tutuila","Wet Forest","W","Tutuila","TT","Tutuila "
"NPSA ","National Park of American Samoa","American Samoa","Ta‘ū","Wet Forest","W","Tau","TA","Ta‘ū"
"WAPA ","War In The Pacific National Historical Park","Guam","Guam","Limestone Forest","L","Guam","GU","Guam"
"AMME ","American Memorial Park","Northern Mariana Islands","Saipan","Mangrove Wetland","M","Muchot","MU","Muchot"
