Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Quad,Status,Top,Base,Base_Ht,Distance,Height,Method,DBH,Life_Form,Nativity,Scientific_Name,Code,Comments,Certified,Verified
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,1,FALSE,1,Live,60,14,1.4,12.6,7.196,Clinometer,36,Tree,Native,Hernandia sonora,HERSON,second bole 13.0cm,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,7,FALSE,1,Live,5,-22,0,12.7,3.4290000000000003,Clinometer,4,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,39,FALSE,4,Live,140,-10,0,8.8,13.200000000000001,Clinometer,11.3,Tree,Native,Ilex anomala,ILEANO,"2 Boles: DBH 11.3, 10.9",TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,33,FALSE,4,Live,90,0,1.7,18,17.9,Clinometer,47,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,3,FALSE,2,Live,124,0,0,11.1,13.764,Clinometer,12.8,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,3,FALSE,3,Live,65,-12,1,14.7,12.318999999999999,Clinometer,31,Tree,Native,Ilex anomala,ILEANO,"Q3 #16, OE, largest bole = 31.0",TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,2,FALSE,2,Live,34,-25,1.4,17.8,11.902000000000001,Clinometer,22,Tree,Native,Ilex anomala,ILEANO,Q2-7,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,1,FALSE,3,Live,88,6,0,17.2,14.104,Clinometer,42,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,36,FALSE,1,Live,100,-20,0,5.5,6.6,Clinometer,12,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,36,FALSE,2,Live,150,-10,0,3.7,5.920000000000001,Clinometer,23,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Rotational,50,FALSE,2,Live,51,1,0,27.3,13.65,Clinometer,58,Tree,Native,Ilex anomala,ILEANO,,TRUE,TRUE
