Event_ID,Image_Point_ID,Unit_Code,Community,Sampling_Frame,Year,Cycle,Transect_Type,Transect_Number,Image_Point,Latitude,Latitude_Dir,Longitude,Longitude_Dir,GCS,GPS_Error
20230810121616-705547511.577606,20230810140741-347726404.666901,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,1,500,20.755075,,-156.2437511,,World Geodetic System 1984,4.7
20230810121616-705547511.577606,20230810141514-547668516.635895,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,1,100,20.758347,,-156.24257,,World Geodetic System 1984,4.7
20230810121616-705547511.577606,20230810141519-538246333.599091,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,1,200,20.757491,,-156.24257,,World Geodetic System 1984,4.6
20230810121616-705547511.577606,20230810141716-847245514.392853,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,1,300,20.757491,,-156.24278,,World Geodetic System 1984,4.8
20230810121616-705547511.577606,20230810141941-672427594.661713,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,1,400,20.75587,,-156.243402,,World Geodetic System 1984,4.7
20230810121616-705547511.577606,20230810142054-996771395.206451,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,1,500,20.755075,,-156.243751,,World Geodetic System 1984,4.7
20231018093032-705547511.577606,20231018102832-543360590.934753,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,2,0,20.747283,,-156.203772,,World Geodetic System 1984,1.9
20231018093032-705547511.577606,20231018103021-430261135.101318,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,2,100,20.74567,,-156.203247,,World Geodetic System 1984,1.9
20231018093032-705547511.577606,20231018103327-502453923.225403,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,2,200,20.745817,,-156.202664,,World Geodetic System 1984,5.0
20231018093032-705547511.577606,20231018103433-462980031.967163,HALE,Subalpine Shrubland,Haleakala,2023,3,Fixed,2,300,20.745075,,-156.202115,,World Geodetic System 1984,1.9
