Event_ID,Unit_Code,Entered_Date,Updated_Date,Verified,Verified_By,Verified_Date,Certified,Certified_By,Certified_Date,Transect_Notes,Event_Notes
20101223103744-814663946.628571,HAVO,2010-12-23T10:38:14Z,2022-04-27T14:21:39Z,TRUE,Daemerson Awong,2011-05-11T08:00:59Z,TRUE,Alison Ainsworth,2012-09-17T08:52:20Z,"2010 origin X266608 Y2155231+/-6m. This transect was intended to overlap RM16, but due to difficulty following flagging a new line was established in 2010 using the start GPS point and 60 degrees bearing. Future monitors may be confused by parallel and/or crossing blue flagging lines and must be cautious to follow the I&M line using coordinates for the posts as guides.",
20101223113134-410036683.082581,HAVO,2010-12-23T11:31:36Z,2012-09-18T11:00:39Z,TRUE,Daemerson Awong,2011-05-11T07:38:16Z,TRUE,Alison Ainsworth,2012-09-18T11:00:37Z,see hard copy for map.,
20101223131632-939971148.967743,HAVO,2010-12-23T13:16:33Z,2013-07-03T12:24:31Z,TRUE,Kenji Clemmer,2011-01-04T15:00:42Z,TRUE,Alison Ainsworth,2012-09-17T11:43:46Z,2010 origin X262830 Y2157259 +/- 3m. Transect crosses Puu-New fence.,
20101223135749-547011435.031891,HAVO,2010-12-23T13:57:49Z,2012-09-17T14:57:49Z,TRUE,Kenji Clemmer,2011-01-04T15:01:13Z,TRUE,Alison Ainsworth,2012-09-17T14:34:44Z,2010 origin X264125 Y2158893+/-3m,Transect crosses fence from pig controlled to open pig distrubed area around 410m. Unknown sp. Never identified - no pictures?
20110103074010-760723590.85083,HAVO,2011-01-03T07:40:13Z,2012-09-17T15:10:28Z,TRUE,Kenji Clemmer,2011-01-04T15:01:50Z,TRUE,Alison Ainsworth,2012-09-17T15:10:25Z,2010 origin X261646 Y2157913+/-4m. Note subplots all marked with red/blue flagging.,
20110103080124-105452656.745911,HAVO,2011-01-03T08:01:27Z,2012-09-17T15:24:05Z,TRUE,Kenji Clemmer,2011-01-04T15:03:02Z,TRUE,Alison Ainsworth,2012-09-17T15:24:02Z,,
20110103082702-330300807.952881,HAVO,2011-01-03T08:27:04Z,2012-09-18T09:40:27Z,TRUE,Kenji Clemmer,2011-01-04T15:03:28Z,TRUE,Alison Ainsworth,2012-09-18T09:40:21Z,Transect overlaps partially with Landbirds Transect 28 (LB28). EIPS transect 13 is not straight.,Crosses fence into Ag unit from Koa unit at 800m.
20110103105107-945072233.67691,HAVO,2011-01-03T10:51:09Z,2012-09-18T09:52:28Z,TRUE,Kenji Clemmer,2011-01-04T15:03:44Z,TRUE,Alison Ainsworth,2012-09-18T09:52:25Z,,
20110103111547-901996314.525604,HAVO,2011-01-03T11:16:14Z,2012-09-18T10:46:09Z,TRUE,Kenji Clemmer,2011-01-04T15:04:03Z,TRUE,Alison Ainsworth,2012-09-18T10:46:05Z,EIPS transect extends about 500m beyond Landbird Transect 29.,
20110104121500-709037899.971008,HAVO,2011-01-04T12:15:01Z,2012-09-18T13:14:01Z,TRUE,Daemerson Awong,2011-05-09T11:03:04Z,TRUE,Alison Ainsworth,2012-09-18T13:13:38Z,"Installed post at transect end (hard tag dated 2010, soft tag 2015). One segment between 600 and 800m was skipped in 2010, and distance between 600 and 800 posts only 180m. 2010 transect origin X265829 Y2145062 +/-3m.",
