Unit_Code,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,Azimuth_Plot,QA_Plot,Start_Lat,Start_Long,Center_Lat,Center_Long,End_Lat,End_Long,GCS,Lat_Dir,Long_Dir,Certified,Verified
HAVO,Mauna Loa,Mauna Loa,2022,3,Rotational,52,322,FALSE,19.457685,-155.455264,19.457864,-155.455378,19.458041,-155.455531,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2012,1,Fixed,3,208,FALSE,21.189184,-156.949804,21.189088,-156.949859,21.189018,-156.949904,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2017,2,Fixed,3,208,FALSE,21.189184,-156.949804,21.189088,-156.949859,21.189018,-156.949904,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,20,148,FALSE,21.138909,-156.904306,21.13869,-156.904155,21.138553,-156.904061,World Geodetic System 1984,North,West,TRUE,TRUE
KAHO,Kaloko-Honokohau,Kaloko-Honokōhau,2016,2,Rotational,19,198,FALSE,19.685733,-156.033059,19.685733,-156.033059,19.685733,-156.033059,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Mauna Loa,Mauna Loa,2016,2,Rotational,34,300,FALSE,19.29366,-155.561579,19.293783,-155.56178,19.293879,-155.562001,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2012,1,Fixed,2,192,FALSE,21.200514,-156.958119,21.20041,-156.958151,21.200339,-156.958153,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2017,2,Fixed,2,192,FALSE,21.200514,-156.958119,21.20041,-156.958151,21.200339,-156.958153,World Geodetic System 1984,North,West,TRUE,TRUE
AMME,Muchot,Muchot,2019,2,Fixed,7,170,FALSE,15.2155,145.72627,15.21528,145.72632,15.21508,145.72641,World Geodetic System 1984,North,East,TRUE,TRUE
AMME,Muchot,Muchot,2014,1,Fixed,7,170,FALSE,15.2155,145.72627,15.21528,145.72632,15.21508,145.72641,World Geodetic System 1984,North,East,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Rotational,37,201,FALSE,19.515806,-155.249881,19.515587,-155.249992,19.515415,-155.250066,World Geodetic System 1984,North,West,TRUE,TRUE
HAVO,Olaa,ʻŌlaʻa,2015,2,Rotational,33,162,FALSE,19.496293,-155.244411,19.496086,-155.244322,19.495861,-155.244262,World Geodetic System 1984,North,West,TRUE,TRUE
KALA,Kalawao,Kalawao,2012,1,Rotational,13,110,FALSE,21.194764,-156.953584,21.194819,-156.953661,21.194875,-156.953737,World Geodetic System 1984,North,West,TRUE,TRUE
