Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Fruit_Flower,Dead,Outside_Plot,cf,Life_Form,Nativity,Scientific_Name,Code,Comments,Certified,Verified
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,35,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,37,FALSE,FALSE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,1,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,3,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,21,FALSE,FALSE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,26,FALSE,FALSE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Rotational,30,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,37,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Fixed,15,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Fixed,15,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2011,1,Rotational,24,FALSE,FALSE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Rotational,49,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Rotational,60,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,32,FALSE,FALSE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2022,3,Fixed,15,FALSE,TRUE,FALSE,,,Herb,Non-Native,Geranium homeanum,GERHOM,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,7,FALSE,FALSE,FALSE,,,Tree,Native,Aglaia mariannensis,AGLMAR,"photo 401, dark leaves",TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,9,FALSE,FALSE,FALSE,,,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,2,FALSE,FALSE,FALSE,,,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,FALSE,FALSE,,,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,2,FALSE,FALSE,FALSE,,,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,29,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,14,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,7,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,34,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Fixed,15,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,15,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,16,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Fixed,13,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,40,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,20,FALSE,FALSE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Fixed,7,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Rotational,27,FALSE,TRUE,FALSE,,,Grass,Non-Native,Festuca myuros,FESMYR,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,FALSE,FALSE,,,Fern,Native,Tectaria setchellii,TECSET,,TRUE,TRUE
