Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Sample_Area,LF_Sm_Woody,DBH,Status,Length,Rooting,Count,Life_Form,Nativity,Scientific_Name,Code,Comments,Certified,Verified
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Fixed,13,FALSE,Quad 4,Small Tree,5<10,Dead,,R1,4,,,,,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Fixed,7,FALSE,Quad 4,Small Tree,1<5,Dead,,R1,2,,,,,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,Quad 4,Small Tree,1<5,Dead,,R1,1,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,20,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,2,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Tree,Native,Aglaia mariannensis,AGLMAR,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Rotational,13,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,9,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,Quad 4,Small Tree,1<5,Live,,R1,5,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,Quad 4,Small Tree,5<10,Live,,R1,3,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,9,FALSE,Transect 3,Seedling,<1,Live,L3,R1,2,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2014,1,Fixed,9,FALSE,Quad 4,Small Tree,1<5,Live,,R1,6,,Native,Melanolepis multiglandulosa var. glabrata,MELMUL1,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2013,1,Fixed,4,FALSE,Quad 4,Small Tree,1<5,Live,,R1,7,Tree,Native,Pisonia umbellifera,PISUMB,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,28,FALSE,Quad 4,Small Tree,5<10,Live,,R2,2,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,14,FALSE,Quad 4,Small Tree,5<10,Live,,R1,1,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Fixed,2,FALSE,Quad 4,Small Tree,1<5,Live,,R1,1,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,Transect 3,Seedling,<1,Live,L2,R1,1,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,22,FALSE,Quad 4,Small Tree,1<5,Live,,R1,7,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2013,1,Rotational,27,FALSE,Transect 3,Seedling,<1,Live,L1,R1,2,Tree,Native,Polyscias spp.,POLSP.1,,TRUE,TRUE
