Species_ID,Update_Date,Update_By,Park,Life_Form,Nativity,Distribution,Conservation_Status,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Comments,Park_Common_Name
20100315154438-100052237.510681,2013-11-07T00:00:00Z,Kelly Kozar,WAPA,,Native,,,Carex fuirenoides,CARFUI,Cyperales,Cyperaceae,Carex,fuirenoides,,,,,Perennial,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",
20100315154438-100197613.239288,2013-12-13T10:54:06Z,Kelly Kozar,NPSA,,Native,,,Trema cannabina,TRECAN,Urticales,Cannabaceae,Trema,cannabina,,,,,,Updated family to new family name based on Wagner et al. 2012.,
20100315154438-100214958.190918,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Non-Native,nat,,Raphanus raphanistrum,RAPRAP,Capparales,Brassicaceae,Raphanus,raphanistrum,,L.,Wagner et al. 2012,"Staples et al., 2003",Annual,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-101445436.477661,2013-12-12T15:35:47Z,Kelly Kozar,HALE,Herb,Non-Native,nat,,Geranium homeanum,GERHOM,Geraniales,Geraniaceae,Geranium,homeanum,,Turcz.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Australasian geranium
20100315154438-101445436.477661,2013-12-12T15:35:47Z,Kelly Kozar,HAVO,Herb,Non-Native,nat,,Geranium homeanum,GERHOM,Geraniales,Geraniaceae,Geranium,homeanum,,Turcz.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Australasian geranium
20100315154438-101909756.660461,,,HALE,,Non-Native,,,Pseudotsuga menziesii,PSEMEN,Pinales,Pinaceae,Pseudotsuga,menziesii,,,,,Perennial,,
20100315154438-102321565.151215,2013-12-13T12:17:25Z,Kelly Kozar,AMME,,Non-Native,,,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-102321565.151215,2013-12-13T12:17:25Z,Kelly Kozar,HALE,,Non-Native,nat,,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-102321565.151215,2013-12-13T12:17:25Z,Kelly Kozar,WAPA,,Non-Native,,,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-10293424.1294861,2013-11-07T00:00:00Z,Kelly Kozar,NPSA,,Native,,,Hedyotis foetida,HEDFOE,Rubiales,Rubiaceae,Hedyotis,foetida,,,,,Perennial,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",
20100315154438-103022634.983063,,,AMME,Tree,Native,,,Aglaia mariannensis,AGLMAR,Sapindales,Meliaceae,Aglaia,mariannensis,,Merrill,Raulerson & Rinehart,,Perennial,,mapunao
20100315154438-103022634.983063,,,WAPA,Tree,Native,,,Aglaia mariannensis,AGLMAR,Sapindales,Meliaceae,Aglaia,mariannensis,,Merrill,Raulerson & Rinehart,,Perennial,,mapunao
20100315154438-103826642.036438,2013-12-12T15:38:12Z,Kelly Kozar,HALE,Grass,Non-Native,nat,,Festuca myuros,FESMYR,Cyperales,Poaceae,Festuca,myuros,,L.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",Annual,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",rat tail fescue
20100315154438-103826642.036438,2013-12-12T15:38:12Z,Kelly Kozar,HAVO,Grass,Non-Native,nat,,Festuca myuros,FESMYR,Cyperales,Poaceae,Festuca,myuros,,L.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",Annual,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",rat tail fescue
20100315154438-103972256.183624,2013-12-13T12:15:59Z,Kelly Kozar,HALE,,Native,,,Mucuna sloanei,MUCSLO,Fabales,Fabaceae,Mucuna,sloanei,,,,,,Updated life form in cross reference table from data in the PLANTS database.,
20100315154438-104432284.832001,,,HAVO,Tree,Native,end,,Coprosma ochracea X rhynchocarpa,COPOCH1,Rubiales,Rubiaceae,Coprosma,ochracea X rhynchocarpa,,,,,Perennial,,pilo
20100315154438-105452656.745911,,,NPSA,Fern,Native,end,,Tectaria setchellii,TECSET,Polypodiales,Tectariaceae,Tectaria,setchellii,,Maxon,The Plant List 2010,,Perennial,,Tectaria setchellii
