Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,Plot_Number,QA_Plot,Transect,Length,Debris_Type,Diameter,Decay_Class,Comments,Certified,Verified
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,42,FALSE,2,50,Wood,12.4,3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Rotational,55,FALSE,4,,Wood,16.7,3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,37,FALSE,2,50,Wood,23.2,4,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Rotational,49,FALSE,2,,Wood,10.4,2,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,55,FALSE,2,,Tree Fern,24.9,3,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,8,FALSE,2,50,Wood,8.5,2,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Rotational,39,FALSE,4,20,Wood,9.4,1,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,1,FALSE,2,50,Tree Fern,26,3,Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,57,FALSE,6,,Wood,24.3,4,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,7,FALSE,6,,Wood,10.8,2,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Fixed,2,FALSE,6,,Wood,21.4,1,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Rotational,17,FALSE,2,50,Wood,7.7,3,,TRUE,TRUE
WAPA,Limestone Forest,Guam,Guam,2019,2,Fixed,1,FALSE,4,20,Wood,8,5,linear estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,50,FALSE,4,,Wood,35.9,2,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,9,FALSE,2,50,Wood,14.9,3,,TRUE,TRUE
AMME,Mangrove Wetland,Muchot,Muchot,2019,2,Fixed,4,FALSE,2,50,Wood,13,5,linear estimate,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,44,FALSE,2,50,Tree Fern,22,5,linear,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,9,FALSE,2,50,Wood,17,3,Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,44,FALSE,2,50,Tree Fern,30,5,Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,14,FALSE,2,50,Tree Fern,20,3,Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,41,FALSE,2,50,Tree Fern,22,3,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Fixed,3,FALSE,6,20,Wood,15.8,2,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2011,1,Rotational,25,FALSE,2,50,Wood,24,2,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2018,2,Rotational,40,FALSE,2,50,Wood,18,3,"suspended, same log as above",TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Rotational,16,FALSE,6,20,Wood,10,4,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Fixed,14,FALSE,2,50,Wood,15,4,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,1,FALSE,2,,Tree Fern,26.6,3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2011,1,Fixed,15,FALSE,6,20,Wood,19,3,,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Fixed,1,FALSE,6,20,Wood,18.6,3,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,31,FALSE,2,50,Tree Fern,7.8,3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,6,FALSE,6,20,Wood,15.5,4,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,4,FALSE,2,,Wood,10.2,3,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,5,FALSE,6,20,Tree Fern,26.1,5,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,9,FALSE,2,50,Tree Fern,19,3,Linear Estimate,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Fixed,5,FALSE,4,20,Wood,22.6,2,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2022,3,Fixed,2,FALSE,2,,Wood,22.9,4,,TRUE,TRUE
NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,4,FALSE,2,50,Wood,9.5,4,linear estimate,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,10,FALSE,2,50,Wood,11.5,1,DBH Linear Estimate,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,42,FALSE,6,20,Wood,14.3,2,,TRUE,TRUE
KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2012,1,Rotational,22,FALSE,4,20,Wood,60,5,moss covered mound,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Fixed,2,FALSE,2,50,Tree Fern,18.2,3,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2012,1,Fixed,7,FALSE,6,20,Wood,16,2,,TRUE,TRUE
HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2015,2,Rotational,40,FALSE,4,20,Wood,10.6,2,,TRUE,TRUE
NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Rotational,40,FALSE,2,50,Tree Fern,39.3,3,linear estimate,TRUE,TRUE
HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,44,FALSE,2,50,Wood,9.3,1,,TRUE,TRUE
HAVO,Wet Forest,Kahuku,Kahuku,2016,2,Fixed,5,FALSE,2,50,Tree Fern,15.6,3,,TRUE,TRUE
HALE,Wet Forest,Kipahulu District,Kīpahulu District,2017,2,Fixed,9,FALSE,6,20,Wood,22,2,linear estimate,TRUE,TRUE
