Event_ID,Unit_Code,Community,Sampling_Frame,Sampling_Frame_Formal,Year,Cycle,Plot_Type,QA_Plot,Plot_Number,Max_Veg_Ht,Site_Name,Images,Certified,Verified
0033A530-DD6E-4F50-8D20-4E4336983D06,KAHO,Coastal Strand,Kaloko-Honokohau,Kaloko-Honokōhau,2016,2,Fixed,FALSE,8,,Kaloko-Honokahau National Historical Park,FALSE,TRUE,TRUE
007816D6-7032-4305-AD91-A5B3EFE9E405,NPSA,Wet Forest,Tutuila,Tutuila,2018,2,Fixed,FALSE,10,,National Park of American Samoa,FALSE,TRUE,TRUE
00F45435-3B82-4441-B845-D86CB1D56C0A,KAHO,Coastal Strand,Kaloko-Honokohau,Kaloko-Honokōhau,2016,2,Rotational,FALSE,20,,Kaloko-Honokahau National Historical Park,FALSE,TRUE,TRUE
0140DAFF-6B5C-4E27-BBCB-8AA725DC8E00,HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,FALSE,33,5,Hawaii Volcanoes National Park,FALSE,TRUE,TRUE
0167477D-7674-49D5-BDA0-F55F52856D95,KAHO,Coastal Strand,Kaloko-Honokohau,Kaloko-Honokōhau,2016,2,Fixed,FALSE,1,,Kaloko-Honokahau National Historical Park,FALSE,TRUE,TRUE
016C6E10-059B-4670-8B27-B130F448E329,HALE,Subalpine Shrubland,Haleakala,Haleakalā,2017,2,Rotational,FALSE,37,,Haleakala National Park,FALSE,TRUE,TRUE
018A4690-B471-4428-8D22-E7DB1E23063D,NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Fixed,FALSE,7,,National Park of American Samoa,FALSE,TRUE,TRUE
02B32519-21BD-4347-9382-ADDDFEBA9C73,KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Fixed,FALSE,3,,Kalaupapa National Historical Park,FALSE,TRUE,TRUE
038394D0-8481-4580-879B-0A093542BE3C,KALA,Wet Forest,Puu Alii,Puʻu Aliʻi,2017,2,Rotational,FALSE,44,,Kalaupapa National Historical Park,FALSE,TRUE,TRUE
04199210-DBC1-471E-8DC9-5A1B0E9C0513,HALE,Subalpine Shrubland,Haleakala,Haleakalā,2012,1,Fixed,FALSE,2,2,Haleakala National Park,TRUE,TRUE,TRUE
0465B979-606D-447A-BC6B-4A88A68E438A,HAVO,Subalpine Shrubland,Mauna Loa,Mauna Loa,2016,2,Rotational,FALSE,44,3.5,Hawaii Volcanoes National Park,FALSE,TRUE,TRUE
05637A44-E9CB-4AD7-9138-0836E0BAC452,HAVO,Wet Forest,Olaa,ʻŌlaʻa,2021,3,Rotational,FALSE,58,,Hawaii Volcanoes National Park,FALSE,TRUE,TRUE
071ABF84-687A-481E-A021-60DDC521FB3C,KALA,Coastal Strand,Hoolehua,Hoʻolehua,2017,2,Fixed,FALSE,7,0.5,Kalaupapa National Historical Park,FALSE,TRUE,TRUE
081A7293-4637-48D7-B5AF-1530CED300BE,KALA,Coastal Strand,Hoolehua,Hoʻolehua,2017,2,Fixed,FALSE,9,0.8,Kalaupapa National Historical Park,FALSE,TRUE,TRUE
08AAFE42-C4EF-4639-BF11-DE10D95F1F1B,NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,FALSE,34,,National Park of American Samoa,FALSE,TRUE,TRUE
0991C9DC-FC24-412F-9F9E-686FC384A957,NPSA,Wet Forest,Tau,Ta‘ū,2018,2,Rotational,FALSE,44,,National Park of American Samoa,FALSE,TRUE,TRUE
09EA3440-87EF-468E-A182-8DA686069B58,HAVO,Wet Forest,Olaa,ʻŌlaʻa,2015,2,Rotational,FALSE,37,12.1,Hawaii Volcanoes National Park,FALSE,TRUE,TRUE
0A9C38A3-A2CF-4FC2-B4D8-49D627B7BD8E,WAPA,Limestone Forest,Guam,Guam,2019,2,Rotational,FALSE,17,,War in the Pacific National Historical Park,FALSE,TRUE,TRUE
0B651411-DD02-433D-95F9-738038BE3671,HAVO,Wet Forest,Nahuku/East Rift,Nāhuku / East Rift,2021,3,Rotational,FALSE,56,,Hawaii Volcanoes National Park,FALSE,TRUE,TRUE
0B7C1C5D-72ED-456E-ACCF-B8D6D5ED5005,AMME,Mangrove Wetland,Muchot,Muchot,2014,1,Fixed,FALSE,2,24,American Memorial Park,TRUE,TRUE,TRUE
