Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-100052237.510681,Carex fuirenoides,CARFUI,Cyperales,Cyperaceae,Carex,fuirenoides,,,,,Perennial,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",WAPA,,Native,,,
20100315154438-100197613.239288,Trema cannabina,TRECAN,Urticales,Cannabaceae,Trema,cannabina,,,,,,2013-12-13T10:54:06Z,Kelly Kozar,Updated family to new family name based on Wagner et al. 2012.,NPSA,,Native,,,
20100315154438-100214958.190918,Raphanus raphanistrum,RAPRAP,Capparales,Brassicaceae,Raphanus,raphanistrum,,L.,Wagner et al. 2012,"Staples et al., 2003",Annual,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,,Non-Native,,nat,
20100315154438-101445436.477661,Geranium homeanum,GERHOM,Geraniales,Geraniaceae,Geranium,homeanum,,Turcz.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,Herb,Non-Native,Australasian geranium,nat,
20100315154438-101445436.477661,Geranium homeanum,GERHOM,Geraniales,Geraniaceae,Geranium,homeanum,,Turcz.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HAVO,Herb,Non-Native,Australasian geranium,nat,
20100315154438-101909756.660461,Pseudotsuga menziesii,PSEMEN,Pinales,Pinaceae,Pseudotsuga,menziesii,,,,,Perennial,,,,HALE,,Non-Native,,,
20100315154438-102321565.151215,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,AMME,,Non-Native,,,
20100315154438-102321565.151215,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,HALE,,Non-Native,,nat,
20100315154438-102321565.151215,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",Perennial,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for s,WAPA,,Non-Native,,,
20100315154438-10293424.1294861,Hedyotis foetida,HEDFOE,Rubiales,Rubiaceae,Hedyotis,foetida,,,,,Perennial,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSN",NPSA,,Native,,,
