Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Synonym,Authority_Source,Citation,Common_Name,Life_Cycle,Complete,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-100052237.510681,Carex fuirenoides,CARFUI,Cyperales,Cyperaceae,Carex,fuirenoides,,,,,,,Perennial,FALSE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",WAPA,,Native,,,
20100315154438-100197613.239288,Trema cannabina,TRECAN,Urticales,Cannabaceae,Trema,cannabina,,,,,,magele,,FALSE,2013-12-13T10:54:06Z,Kelly Kozar,Updated family to new family name based on Wagner et al. 2012.,NPSA,,Native,,,
20100315154438-100214958.190918,Raphanus raphanistrum,RAPRAP,Capparales,Brassicaceae,Raphanus,raphanistrum,,L.,,Wagner et al. 2012,"Staples et al., 2003",wild radish,Annual,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database.,HAVO,,Non-Native,,nat,
20100315154438-101445436.477661,Geranium homeanum,GERHOM,Geraniales,Geraniaceae,Geranium,homeanum,,Turcz.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Australasian geranium,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Herb,Non-Native,Australasian geranium,nat,
20100315154438-101445436.477661,Geranium homeanum,GERHOM,Geraniales,Geraniaceae,Geranium,homeanum,,Turcz.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Australasian geranium,Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Herb,Non-Native,Australasian geranium,nat,
20100315154438-101909756.660461,Pseudotsuga menziesii,PSEMEN,Pinales,Pinaceae,Pseudotsuga,menziesii,,,,,,douglas-fir,Perennial,FALSE,,,,HALE,,Non-Native,,,
20100315154438-102321565.151215,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",glossy shower,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,HALE,,Non-Native,,nat,
20100315154438-102321565.151215,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",glossy shower,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,AMME,,Non-Native,,,
20100315154438-102321565.151215,Senna surattensis,SENSUR,Fabales,Fabaceae,Senna,surattensis,,(Burm. f.) H. S. Irwin & Barneby,,Wagner et al. 2012,"Staples et al., 2002; Oppenheimer, 2007",glossy shower,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form in xref t,WAPA,,Non-Native,,,
20100315154438-10293424.1294861,Hedyotis foetida,HEDFOE,Rubiales,Rubiaceae,Hedyotis,foetida,,,,,,starviolet,Perennial,FALSE,2013-11-07T00:00:00Z,Kelly Kozar,"Updated TSNs to most current from the ITIS database.  Most were updates from negative, temporary TSNs to permanent TSNs.",NPSA,,Native,,,
20100315154438-103022634.983063,Aglaia mariannensis,AGLMAR,Sapindales,Meliaceae,Aglaia,mariannensis,,Merrill,,Raulerson & Rinehart,,"mapunao, mapunyao",Perennial,TRUE,,,,WAPA,Tree,Native,mapunao,,
20100315154438-103022634.983063,Aglaia mariannensis,AGLMAR,Sapindales,Meliaceae,Aglaia,mariannensis,,Merrill,,Raulerson & Rinehart,,"mapunao, mapunyao",Perennial,TRUE,,,,AMME,Tree,Native,mapunao,,
20100315154438-103826642.036438,Festuca myuros,FESMYR,Cyperales,Poaceae,Festuca,myuros,,L.,Vulpia myuros (L.) C.C.Gmel.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",rat tail fescue,Annual,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,Grass,Non-Native,rat tail fescue,nat,
20100315154438-103826642.036438,Festuca myuros,FESMYR,Cyperales,Poaceae,Festuca,myuros,,L.,Vulpia myuros (L.) C.C.Gmel.,Wagner et al. 2012,"Catalán et al., 2007; Inda et al, 2008",rat tail fescue,Annual,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HAVO,Grass,Non-Native,rat tail fescue,nat,
20100315154438-103972256.183624,Mucuna sloanei,MUCSLO,Fabales,Fabaceae,Mucuna,sloanei,,,,,,horseeye bean,,FALSE,2013-12-13T12:15:59Z,Kelly Kozar,Updated life form in cross reference table from data in the PLANTS database.,HALE,,Native,,,
20100315154438-104432284.832001,Coprosma ochracea X rhynchocarpa,COPOCH1,Rubiales,Rubiaceae,Coprosma,ochracea X rhynchocarpa,,,,,,,Perennial,FALSE,,,,HAVO,Tree,Native,pilo,end,
20100315154438-105452656.745911,Tectaria setchellii,TECSET,Polypodiales,Tectariaceae,Tectaria,setchellii,,Maxon,,The Plant List 2010,,,Perennial,TRUE,,,,NPSA,Fern,Native,Tectaria setchellii,end,
20100315154438-105882227.420807,Scleria polycarpa,SCLPOL,Cyperales,Cyperaceae,Scleria,polycarpa,,Boeck.,,Yoshioka,,"tafatolu, selesele",Perennial,TRUE,,,,NPSA,Sedge,Native,selesele,ind,
20100315154438-105882227.420807,Scleria polycarpa,SCLPOL,Cyperales,Cyperaceae,Scleria,polycarpa,,Boeck.,,Yoshioka,,"tafatolu, selesele",Perennial,TRUE,,,,WAPA,Sedge,Native,nutrush,,
20100315154438-106133759.021759,Dryopteris unidentata var. paleacea,DRYUNI1,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. paleacea,(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.,,2012 Bishop Museum Technical Report 60,Palmer 2003,akole,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,,Native,,end,
20100315154438-106133759.021759,Dryopteris unidentata var. paleacea,DRYUNI1,Polypodiales,Dryopteridaceae,Dryopteris,unidentata,var. paleacea,(Hook. & Arn.) C.Chr.; (Hillebr.) Herat ex Fraser-Jenk.,,2012 Bishop Museum Technical Report 60,Palmer 2003,akole,Perennial,FALSE,2013-12-12T15:46:39Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation.  Updated distribution in xref table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HAVO,,Native,‘akole,end,
20100315154438-106369674.20578,Melanolepis multiglandulosa var. glabrata,MELMUL1,Euphorbiales,Euphorbiaceae,Melanolepis,multiglandulosa,var. glabrata,,,,,alom,,FALSE,,,,WAPA,,Native,,,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HALE,Tree,Native,papala,ind,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Tree,Native,papala,ind,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,KALA,Tree,Native,papala,ind,
20100315154438-106646120.548248,Pisonia umbellifera,PISUMB,Caryophyllales,Nyctaginaceae,Pisonia,umbellifera,,(G. Forst.) Seem.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,"papala, papala kepau",Perennial,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,NPSA,Tree,Native,faupala,ind,
